Model,Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,Predicted Churners,Business Score
Tuned Gradient Boosting,0.5299999999999998,0.85875,0.7873563218390804,0.42024539877300615,0.548,0.8618476177634811,0.6957424704660088,174,0.5742851420915309
Tuned Gradient Boosting,0.5399999999999998,0.86,0.8072289156626506,0.4110429447852761,0.5447154471544715,0.8618476177634811,0.6957424704660088,166,0.5764425350661964
Tuned Gradient Boosting,0.5499999999999998,0.856875,0.8050314465408805,0.39263803680981596,0.5278350515463918,0.8618476177634811,0.6957424704660088,159,0.5640151331630038
Tuned Gradient Boosting,0.5599999999999997,0.856875,0.8089171974522293,0.3895705521472393,0.525879917184265,0.8618476177634811,0.6957424704660088,157,0.5636037510113909
Tuned Gradient Boosting,0.5699999999999997,0.855625,0.8104575163398693,0.3803680981595092,0.5177453027139874,0.8618476177634811,0.6957424704660088,153,0.558374835433531
Tuned Gradient Boosting,0.5799999999999997,0.854375,0.8079470198675497,0.37423312883435583,0.5115303983228512,0.8618476177634811,0.6957424704660088,151,0.5534924445936727
Tuned Gradient Boosting,0.5899999999999997,0.854375,0.8163265306122449,0.36809815950920244,0.507399577167019,0.8618476177634811,0.6957424704660088,147,0.5528383729268306
Tuned Gradient Boosting,0.5999999999999998,0.855625,0.8321678321678322,0.36503067484662577,0.5074626865671642,0.8618476177634811,0.6957424704660088,143,0.5570150822531557
Tuned Gradient Boosting,0.6099999999999998,0.855,0.8405797101449275,0.3558282208588957,0.5,0.8618476177634811,0.6957424704660088,138,0.5543255979372277
Tuned Gradient Boosting,0.6199999999999998,0.855,0.8455882352941176,0.35276073619631904,0.49783549783549785,0.8618476177634811,0.6957424704660088,136,0.5542653132083843
Tuned Gradient Boosting,0.6299999999999997,0.85375,0.8538461538461538,0.34049079754601225,0.4868421052631579,0.8618476177634811,0.6957424704660088,130,0.5494354337944909
Tuned Gradient Boosting,0.6399999999999997,0.853125,0.864,0.3312883435582822,0.4789356984478936,0.8618476177634811,0.6957424704660088,125,0.5472668942908058
Tuned Gradient Boosting,0.6499999999999997,0.8525,0.8688524590163934,0.32515337423312884,0.4732142857142857,0.8618476177634811,0.6957424704660088,122,0.5450602362035029
Tuned Gradient Boosting,0.6599999999999997,0.850625,0.865546218487395,0.3159509202453988,0.46292134831460674,0.8618476177634811,0.6957424704660088,119,0.537703360243939
Tuned Gradient Boosting,0.6699999999999997,0.84875,0.8620689655172413,0.3067484662576687,0.45248868778280543,0.8618476177634811,0.6957424704660088,116,0.5302586853035465
Tuned Gradient Boosting,0.6799999999999997,0.845625,0.8558558558558559,0.29141104294478526,0.43478260869565216,0.8618476177634811,0.6957424704660088,111,0.5176410406138334
Tuned Gradient Boosting,0.6899999999999997,0.84375,0.8584905660377359,0.2791411042944785,0.4212962962962963,0.8618476177634811,0.6957424704660088,106,0.5103444543049822
Tuned Gradient Boosting,0.6999999999999996,0.843125,0.8712871287128713,0.26993865030674846,0.41217798594847777,0.8618476177634811,0.6957424704660088,101,0.5088584848772373
Tuned Gradient Boosting,0.7099999999999996,0.841875,0.8842105263157894,0.25766871165644173,0.3990498812351544,0.8618476177634811,0.6957424704660088,95,0.5052345807029559
